district_id,district,Party,Votes,election_year,party_id,Total_valid_pr_votes,Vote_Share
1,ताप्लेजुंग,नेपाल कम्युनिष्ट पार्टी (एमाले),20740,2074,P1,47056,44.07514450867052
1,ताप्लेजुंग,नेपाली काँग्रेस,14799,2074,P2,47056,31.449761985719142
1,ताप्लेजुंग,एकल चिन्ह गोलाकारभित्रको हसिया हथौडा लिएका,6341,2074,P3,47056,13.47543352601156
1,ताप्लेजुंग,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,2009,2074,P34,47056,4.269381162869772
1,ताप्लेजुंग,"नयाँ शक्ति पार्टी, नेपाल",746,2074,P14,47056,1.5853451207072422
1,ताप्लेजुंग,"संघीय समाजवादी फोरम, नेपाल",520,2074,P6,47056,1.1050663039782387
1,ताप्लेजुंग,राष्ट्रिय जनमुक्ति पार्टी,508,2074,P55,47056,1.0795647738864331
1,ताप्लेजुंग,राष्ट्रिय प्रजातन्त्र पार्टी,446,2074,P5,47056,0.9478068684121047
1,ताप्लेजुंग,आमूल परिवर्तन मसिहा पार्टी नेपाल,236,2074,P59,47056,0.5015300918055083
1,ताप्लेजुंग,एकल चिन्ह हसिया तारा लिएका,133,2074,P22,47056,0.28264195851751106
1,ताप्लेजुंग,नेपाली जनता दल,132,2074,P58,47056,0.2805168310098606
1,ताप्लेजुंग,विवेकशील साझा पार्टी,126,2074,P92,47056,0.26776606596395786
1,ताप्लेजुंग,एकीकृत राष्ट्रिय प्रजातन्त्र पार्टी(राष्ट्रवादी),95,2074,P96,47056,0.2018871132267936
1,ताप्लेजुंग,राष्ट्रिय प्रजातन्त्र पार्टी (प्रजातान्त्रिक),39,2074,P97,47056,0.08287997279836791
1,ताप्लेजुंग,मंगोल नेशनल अर्गनाइजेसन,30,2074,P17,47056,0.06375382522951377
1,ताप्लेजुंग,नेपाल लोकतान्त्रिक जनता काँगे्रस,28,2074,P98,47056,0.059503570214212854
1,ताप्लेजुंग,नेपाल मजदुर किसान पार्टी,17,2074,P11,47056,0.0361271676300578
1,ताप्लेजुंग,राष्ट्रिय मुक्ति आन्दोलन नेपाल,15,2074,P74,47056,0.031876912614756885
1,ताप्लेजुंग,तामाङसालिङ लोकतान्त्रिक पार्टी ,10,2074,P99,47056,0.02125127507650459
1,ताप्लेजुंग,चुरेभावर लोकतान्त्रिक पार्टी,7,2074,P100,47056,0.014875892553553214
1,ताप्लेजुंग,"राष्ट्रिय समाजवादी पार्टी, नेपाल",7,2074,P101,47056,0.014875892553553214
1,ताप्लेजुंग,नेपाली कांगे्रस (बी.पी.),6,2074,P73,47056,0.012750765045902755
1,ताप्लेजुंग,नेपालवाद,6,2074,P102,47056,0.012750765045902755
1,ताप्लेजुंग,नेपाल नौलो जनवादी पार्टी,5,2074,P103,47056,0.010625637538252295
1,ताप्लेजुंग,नेपाः राष्ट्रिय पार्टी,4,2074,P105,47056,0.008500510030601836
1,ताप्लेजुंग,नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी),4,2074,P33,47056,0.008500510030601836
1,ताप्लेजुंग,"राष्ट्रिय यथार्थवादी पार्टी, नेपाल",4,2074,P27,47056,0.008500510030601836
1,ताप्लेजुंग,"जनप्रजातान्त्रिक पार्टी, नेपाल",4,2074,P106,47056,0.008500510030601836
1,ताप्लेजुंग,राष्ट्रिय जनता पार्टी नेपाल,3,2074,P29,47056,0.006375382522951377
