state_id,district_id,const_id,seat_id,party_id,candidate_name,candidate_key,election_year,age,gender,qualification,Literacy Rate 2078,edu_below_slc,edu_slc_to_inter,edu_grad_or_higher,cand_vote_share_prev,cand_rank_prev,cand_won_prev,missing_cand_vote_share_prev,party_vote_share_prev,party_rank_prev,party_won_prev,party_contested_prev,pr_vote_share_prev,pr_rank_prev,missing_pr_vote_share_prev,enp_prev,num_candidates_prev,margin_prev,top1_share_prev,top2_share_prev,is_independent,is_alternative_party,is_youth_favoured_party,has_national_leader_presence,is_old_established_party,was_in_ousted_government
1,1,1,1_1,P001,क्षितिज थेबे,क ष त ज थ ब_1_1,2082,38,पुरुष,bachelors,82.21,71.91,19.06,3.65,0.0,0.0,0.0,1,0.473001229,1.0,1.0,1,0.4236962112861743,1.0,0,2.252393679,11,0.004483628,0.473001229,0.4685176,0,0,0,1,1,1
1,1,1,1_1,P002,गजेन्द्र प्रसाद तुम्याङ लिम्बु,गज न द र प रस द त म य ङ ल म ब_1_1,2082,46,पुरुष,bachelors,82.21,71.91,19.06,3.65,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.3400765091097711,2.0,0,2.252393679,11,0.004483628,0.473001229,0.4685176,0,0,0,1,1,1
1,1,1,1_1,P003,खेल प्रसाद बुडाक्षेत्री,ख ल प रस द ब ड क ष त र_1_1,2082,50,पुरुष,plus2,82.21,71.91,19.06,3.65,0.4685176,2.0,0.0,0,0.4685176,2.0,0.0,1,0.1449566664505392,3.0,0,2.252393679,11,0.004483628,0.473001229,0.4685176,0,0,0,1,1,0
1,1,1,1_1,P004,बिरेन्द्र श्रेष्ठ,ब र न द र श र ष ठ_1_1,2082,55,पुरुष,bachelors,82.21,71.91,19.06,3.65,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0211372625299876,4.0,0,2.252393679,11,0.004483628,0.473001229,0.4685176,0,1,1,1,0,0
1,1,1,1_1,P005,ईन्द्र प्रसाद थापा,ईन द र प रस द थ प_1_1,2082,63,पुरुष,plus2,82.21,71.91,19.06,3.65,0.0,0.0,0.0,1,0.008751698,5.0,0.0,1,0.0137673172102271,7.0,0,2.252393679,11,0.004483628,0.473001229,0.4685176,0,0,0,1,1,0
1,1,1,1_1,P006,सूर्य गुरुङ,स र य ग र ङ_1_1,2082,66,पुरुष,masters,82.21,71.91,19.06,3.65,0.0,0.0,0.0,1,0.013537108,4.0,0.0,1,0.0156044003544489,6.0,0,2.252393679,11,0.004483628,0.473001229,0.4685176,0,0,0,1,1,0
1,1,1,1_1,P009,अरुन सुब्बा (लेछर्वो),अर न स ब ब ल छर व_1_1,2082,48,पुरुष,see_slc,82.21,71.91,19.06,3.65,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0001080637143659,27.0,0,2.252393679,11,0.004483628,0.473001229,0.4685176,0,1,0,0,0,0
1,1,1,1_1,P017,सन्त बहादुर लिम्बु,सन त बह द र ल म ब_1_1,2082,57,पुरुष,see_slc,82.21,71.91,19.06,3.65,0.0,0.0,0.0,1,0.002888491,8.0,0.0,1,0.0027015928591497,9.0,0,2.252393679,11,0.004483628,0.473001229,0.4685176,0,0,0,0,0,0
1,1,1,1_1,P025,इन्द्र कुमार लिम्बू,इन द र क म र ल म ब_1_1,2082,48,पुरुष,below_slc,82.21,71.91,19.06,3.65,0.005733871,6.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1,2.252393679,11,0.004483628,0.473001229,0.4685176,0,0,0,0,0,0
1,1,1,1_1,P034,"मुकसाम लाबुङ, लिम्बु",म कस म ल ब ङ ल म ब_1_1,2082,44,पुरुष,see_slc,82.21,71.91,19.06,3.65,0.0,0.0,0.0,1,0.020284107,3.0,0.0,1,0.0201430763578205,5.0,0,2.252393679,11,0.004483628,0.473001229,0.4685176,0,0,0,0,0,0
1,1,1,1_1,P046,सन्तोष राई,सन त ष र ई_1_1,2082,49,पुरुष,below_slc,82.21,71.91,19.06,3.65,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,1,2.252393679,11,0.004483628,0.473001229,0.4685176,0,1,0,1,0,0
1,1,1,1_1,P052,नरपती पौडेल,नरपत प ड ल_1_1,2082,61,पुरुष,see_slc,82.21,71.91,19.06,3.65,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0003241911430979,19.0,0,2.252393679,11,0.004483628,0.473001229,0.4685176,0,0,0,0,0,0
1,1,1,1_1,P057,किर्ती मान मादेन,क र त म न म द न_1_1,2082,65,पुरुष,see_slc,82.21,71.91,19.06,3.65,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,1,2.252393679,11,0.004483628,0.473001229,0.4685176,0,1,0,1,0,0
1,2,1,2_1,P001,अइन्द्र सुन्दर नेम्वाङ,अइन द र स न दर न म व ङ_2_1,2082,48,पुरुष,plus2,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,0.453941885,1.0,1.0,1,0.3735775898401281,1.0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,1,1,1
1,2,1,2_1,P002,नरेन्द्र कुमार केरुङ,नर न द र क म र क र ङ_2_1,2082,53,पुरुष,masters,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,0.453292085,2.0,0.0,1,0.2675395465145683,2.0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,1,1,1
1,2,1,2_1,P003,हर्क बहादुर नेम्बाङ,हर क बह द र न म ब ङ_2_1,2082,45,पुरुष,plus2,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.218538394537945,3.0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,1,1,0
1,2,1,2_1,P004,महेन्द्र विक्रम थाम्सुहाङ,मह न द र व क रम थ म स ह ङ_2_1,2082,57,पुरुष,plus2,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,0.007430323,7.0,0.0,1,0.0273664690511646,5.0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,1,1,1,0,0
1,2,1,2_1,P005,तेज कुमार कुरुम्वाङ्ग,त ज क म र क र म व ङ ग_2_1,2082,62,पुरुष,plus2,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,0.022290969,3.0,0.0,1,0.0343064257817987,4.0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,1,1,0
1,2,1,2_1,P006,मचिन्द्र प्रसाद बेघा,मच न द र प रस द ब घ_2_1,2082,69,पुरुष,below_slc,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,0.017996638,4.0,0.0,1,0.0240369756399089,6.0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,1,1,0
1,2,1,2_1,P009,मित्र लिङदेन,म त र ल ङद न_2_1,2082,52,पुरुष,bachelors,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0001545334494675,28.0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,1,0,0,0,0
1,2,1,2_1,P011,लक्षुमान तामाङ,लक ष म न त म ङ_2_1,2082,40,पुरुष,see_slc,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0005619398162456,19.0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0
1,2,1,2_1,P014,प्रकाश काफ्ले,प रक श क फ ल_2_1,2082,38,पुरुष,plus2,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,1,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0
1,2,1,2_1,P017,राम कुमार तुम्रोक,र म क म र त म र क_2_1,2082,47,पुरुष,below_slc,82.29,69.74,21.14,3.29,0.007373819,8.0,0.0,0,0.007373819,8.0,0.0,1,0.0094546374083335,8.0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0
1,2,1,2_1,P025,नरेन्द्र प्रसाद कुरुम्‍वाङ,नर न द र प रस द क र म व ङ_2_1,2082,68,पुरुष,see_slc,82.29,69.74,21.14,3.29,0.004266079,9.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0
1,2,1,2_1,P032,टेकबहादुर सुब्बा,ट कबह द र स ब ब_2_1,2082,42,पुरुष,plus2,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,1,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0
1,2,1,2_1,P034,भानु भक्त फियाक,भ न भक त फ य क_2_1,2082,50,पुरुष,bachelors,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,0.014281476,5.0,0.0,1,0.0230395324660728,7.0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0
1,2,1,2_1,P046,हस्त राज शेर्मा,हस त र ज श र म_2_1,2082,40,पुरुष,see_slc,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,1,2.422248783,15,0.0006498,0.453941885,0.453292085,0,1,0,1,0,0
1,2,1,2_1,P052,विजय नेम्वाङ,व जय न म व ङ_2_1,2082,43,पुरुष,below_slc,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1.4048495406142002e-05,45.0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0
1,3,1,3_1,P001,काजी मान कागते,क ज म न क गत_3_1,2082,64,पुरुष,unknown,83.37,69.4,20.76,4.46,0.0,0.0,0.0,1,0.451664387,1.0,1.0,1,0.3608415659162294,1.0,0,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,1,1,1
1,3,1,3_1,P002,निश्कल राई,न श कल र ई_3_1,2082,35,पुरुष,unknown,83.37,69.4,20.76,4.46,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.2886521960378319,2.0,0,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,1,1,1
1,3,1,3_1,P003,रन बहादुर राई,रन बह द र र ई_3_1,2082,54,पुरुष,unknown,83.37,69.4,20.76,4.46,0.0,0.0,0.0,1,0.404942299,2.0,0.0,1,0.1696818684307497,3.0,0,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,1,1,0
1,3,1,3_1,P004,विमल गदाल,व मल गद ल_3_1,2082,54,पुरुष,unknown,83.37,69.4,20.76,4.46,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0781027917668322,4.0,0,2.68983632,11,0.046722088,0.451664387,0.404942299,0,1,1,1,0,0
1,3,1,3_1,P005,ज्वाला  नेपाल,ज व ल न प ल_3_1,2082,35,महिला,unknown,83.37,69.4,20.76,4.46,0.0,0.0,0.0,1,0.028043776,4.0,0.0,1,0.0228114197476706,6.0,0,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,1,1,0
1,3,1,3_1,P009,लिला बहादुर सुनुवार,ल ल बह द र स न व र_3_1,2082,58,पुरुष,unknown,83.37,69.4,20.76,4.46,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0001930197055572,28.0,0,2.68983632,11,0.046722088,0.451664387,0.404942299,0,1,0,0,0,0
1,3,1,3_1,P011,तुल्सी केशरी प्रजापति (छुंजु),त ल स क शर प रज पत छ ज_3_1,2082,51,महिला,unknown,83.37,69.4,20.76,4.46,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0007369843303093,17.0,0,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,0,0,0
1,3,1,3_1,P017,बुद्ध लाल मेचे,ब द ध ल ल म च_3_1,2082,55,पुरुष,unknown,83.37,69.4,20.76,4.46,0.04282858,3.0,0.0,0,0.04282858,3.0,0.0,1,0.037112425204864,5.0,0,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,0,0,0
