state_id,district_id,const_id,seat_id,party_id,candidate_name,candidate_key,election_year,age,gender,qualification,Literacy Rate 2078,edu_below_slc,edu_slc_to_inter,edu_grad_or_higher,cand_vote_share_prev,cand_rank_prev,cand_won_prev,party_vote_share_prev,party_rank_prev,party_won_prev,party_contested_prev,pr_vote_share_prev,pr_rank_prev,enp_prev,num_candidates_prev,margin_prev,top1_share_prev,top2_share_prev,is_independent,is_alternative_party,is_youth_favoured_party,has_national_leader_presence,is_old_established_party,was_in_ousted_government,vote_share,rank_in_const,won_seat
1,1,1,1_1,P001,योगेश कुमार भट्टराई,य ग श क म र भट टर ई_1_1,2079,56,पुरुष,masters,82.21,71.91,19.06,3.65,0.597406019,1.0,1.0,0.597406019,1.0,1.0,1,0.4407514450867052,1.0,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,1,1,0,0.473001229,1,1
1,1,1,1_1,P003,खेल प्रसाद बुडाक्षेत्री,ख ल प रस द ब ड क ष त र_1_1,2079,46,पुरुष,plus2,82.21,71.91,19.06,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1347543352601156,3.0,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,1,1,1,0.4685176,2,0
1,1,1,1_1,P034,होम प्रसाद तुम्बाहाम्फे,ह म प रस द त म ब ह म फ_1_1,2079,56,पुरुष,see_slc,82.21,71.91,19.06,3.65,0.0,0.0,0.0,0.032242375,3.0,0.0,1,0.0426938116286977,4.0,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,0,0,0,0.020284107,3,0
1,1,1,1_1,P006,चन्द्र मादेन,चन द र म द न_1_1,2079,49,पुरुष,bachelors,82.21,71.91,19.06,3.65,0.0,0.0,0.0,0.008004864,4.0,0.0,1,0.0110506630397823,6.0,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,1,1,1,0.013537108,4,0
1,1,1,1_1,P005,राम बहादुर कार्की,र म बह द र क र क_1_1,2079,65,पुरुष,bachelors,82.21,71.91,19.06,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0.009478068684121,8.0,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,1,1,0,0.008751698,5,0
1,1,1,1_1,P055,इन्द्र कुमार लिम्बू,इन द र क म र ल म ब_1_1,2079,45,पुरुष,bachelors,82.21,71.91,19.06,3.65,0.0,0.0,0.0,0.006545749,6.0,0.0,1,0.0107956477388643,7.0,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,0,0,0,0.005733871,6,0
1,1,1,1_1,P000,सन्जु कुमार पालुंवा,सन ज क म र प ल व_1_1,2079,66,पुरुष,see_slc,82.21,71.91,19.06,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.104125811,8,0.25516263,0.597406019,0.342243388,1,0,0,0,0,0,0.004138734,7,0
1,1,1,1_1,P017,विक्रम लिम्वु,व क रम ल म व_1_1,2079,28,पुरुष,see_slc,82.21,71.91,19.06,3.65,0.0,0.0,0.0,0.00085115,8.0,0.0,1,0.0006375382522951,15.0,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,0,0,0,0.002888491,8,0
1,1,1,1_1,P010,चैतन्य  प्रकाश  केदेम,च तन य प रक श क द म_1_1,2079,54,पुरुष,see_slc,82.21,71.91,19.06,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,0,0,0,0.00131491,9,0
1,1,1,1_1,P090,कृष्ण वहादुर लिम्बु,क ष ण वह द र ल म ब_1_1,2079,56,पुरुष,see_slc,82.21,71.91,19.06,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,0,0,0,0.001207131,10,0
